주소,count,lat,lng
서울특별시 관악구 봉천동 1693-47,63,37.4829716,126.9507906
서울특별시 서초구 서초동 1402,63,37.48818,127.01751
서울특별시 송파구 가락동 80,62,37.49672,127.11744
서울특별시 서초구 양재동 316-1,62,37.46838,127.0361
서울특별시 마포구 동교동 190-1,62,37.5571419,126.9261901
서울특별시 노원구 하계동 266,62,37.63793,127.07251
서울특별시 용산구 청암동 176,62,37.53511,126.94593
서울특별시 관악구 신림동 1467-5,62,37.4868971,126.928177
서울특별시 용산구 서계동 266-5,62,37.55234,126.96595
서울특별시 서초구 서초동 1404,62,37.48818,127.01751
서울특별시 강남구 대치동 890-60,61,37.49882,127.06566
서울특별시 서초구 방배동 424-31,61,37.4798789,126.9939103
서울특별시 강남구 대치동 1012-82,61,37.49882,127.06566
서울특별시 동작구 신대방동 643-1,61,37.4955756,126.9195788
서울특별시 도봉구 창동 74-2,61,37.64643,127.04326
서울특별시 성동구 성수동1가 13-219,61,37.5435,127.03742
서울특별시 강남구 청담동 139-2,60,37.5257535,127.0523217
서울특별시 구로구 구로동 212-9,60,37.4945849,126.8845477
서울특별시 마포구 동교동 165-8,60,37.5571419,126.9261901
서울특별시 관악구 봉천동 1728-3,60,37.484665,126.9484961
서울특별시 구로구 구로동 197-48,60,37.4945849,126.8845477
서울특별시 동작구 노량진동 329,60,37.5110101,126.9414634
서울특별시 송파구 문정동 627,60,37.48434,127.12246
서울특별시 송파구 문정동 645,60,37.48434,127.12246
서울특별시 강남구 대치동 912-21,60,37.49882,127.06566
서울특별시 노원구 중계동 514-6,59,37.64802,127.07678
서울특별시 성북구 안암동5가 산1-77,59,37.5928493,127.0283933
서울특별시 광진구 자양동 854-3,59,37.5329735,127.0727409
서울특별시 강남구 대치동 966-5,59,37.49882,127.06566
서울특별시 영등포구 여의도동 5,59,37.5267088,126.9238
서울특별시 영등포구 여의도동 1-2,59,37.5267088,126.9238
서울특별시 노원구 상계동 694-1,59,37.66727,127.07242
서울특별시 강남구 삼성동 189,59,37.5147838,127.0543618
서울특별시 양천구 신정동 329-6,59,37.5162407,126.8521196
서울특별시 영등포구 여의도동 3,59,37.5275232,126.9195415
서울특별시 관악구 봉천동 1732-7,58,37.484665,126.9484961
서울특별시 노원구 상계동 640-1,58,37.66727,127.07242
서울특별시 강남구 역삼동 858-18,58,37.49988,127.03856
