,Age,Country,LanguageHaveWorkedWith,LearnCode
38534,18-24 years old,United States of America,C;C#;C++;Java;PowerShell;Python,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Hackathons (virtual or in-person)"
38535,35-44 years old,Canada,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38536,25-34 years old,Canada,Bash/Shell;C;Go;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,"Books / Physical media;School (i.e., University, College, etc);On the job training"
38537,25-34 years old,Netherlands,C#;C++;Delphi;Python;SQL,"School (i.e., University, College, etc);On the job training;Hackathons (virtual or in-person)"
38538,18-24 years old,Argentina,HTML/CSS;JavaScript;Python,Books / Physical media;Online Courses or Certification
38539,25-34 years old,Malaysia,Bash/Shell;C++;Elixir;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum)"
38540,25-34 years old,United States of America,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38541,25-34 years old,United States of America,Bash/Shell;C#;Java;Kotlin;PowerShell;Python;SQL,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague"
38542,25-34 years old,Canada,Bash/Shell;JavaScript;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague"
38543,35-44 years old,Austria,Bash/Shell;C;C++;Dart;HTML/CSS;JavaScript;PHP;Python,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)"
38544,35-44 years old,United States of America,Bash/Shell;C;C++;HTML/CSS;JavaScript;Perl;Python;SQL;VBA,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
38545,25-34 years old,United States of America,C#;C++,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague"
38546,35-44 years old,Paraguay,HTML/CSS;Java;JavaScript;PHP;SQL,On the job training;Online Courses or Certification;Coding Bootcamp
38547,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;HTML/CSS;JavaScript;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification"
38548,25-34 years old,Colombia,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Books / Physical media;School (i.e., University, College, etc);On the job training;Colleague"
38549,35-44 years old,Canada,JavaScript,"School (i.e., University, College, etc)"
38550,35-44 years old,United States of America,HTML/CSS;JavaScript;Python;SQL,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
38551,18-24 years old,Guatemala,HTML/CSS;JavaScript;Solidity;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38552,55-64 years old,Greece,Bash/Shell;C++;Dart;JavaScript;MATLAB,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38553,45-54 years old,Germany,Bash/Shell;Delphi;Haskell;HTML/CSS;Java;JavaScript;PHP;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)"
38554,35-44 years old,United States of America,C++;HTML/CSS;JavaScript;Python;TypeScript,"Books / Physical media;School (i.e., University, College, etc)"
38555,18-24 years old,Hungary,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Python;SQL,"Other online resources (e.g., videos, blogs, forum)"
38556,25-34 years old,El Salvador,Bash/Shell;JavaScript;TypeScript,"Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Colleague"
38557,25-34 years old,India,Bash/Shell;Go;Java;Scala,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38558,25-34 years old,Israel,C;C#;Java,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague"
38559,65 years or older,United Kingdom of Great Britain and Northern Ireland,Java;SQL;VBA,Coding Bootcamp
38560,25-34 years old,Guatemala,C#,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp;Colleague"
38561,18-24 years old,Slovakia,HTML/CSS;JavaScript;PHP;Python;SQL,"School (i.e., University, College, etc);Online Courses or Certification"
38562,45-54 years old,United States of America,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Other (please specify):"
38563,35-44 years old,United States of America,HTML/CSS;JavaScript;PHP;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Colleague"
38564,18-24 years old,United Kingdom of Great Britain and Northern Ireland,C++;Haskell;Java;Kotlin;Python;R;Scala,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague"
38565,25-34 years old,Brazil,Bash/Shell;C;Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38566,25-34 years old,Belarus,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Hackathons (virtual or in-person)"
38567,25-34 years old,United States of America,C#;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
38568,35-44 years old,Norway,C#;JavaScript;Python,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38569,45-54 years old,United States of America,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;TypeScript,Books / Physical media;Online Courses or Certification
38570,18-24 years old,Turkey,C;C#;HTML/CSS;JavaScript;PHP;Solidity;SQL,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38571,25-34 years old,United States of America,Python;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp"
38572,65 years or older,United States of America,Delphi;SQL,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp;Colleague;Other (please specify):"
38573,25-34 years old,Costa Rica,C#;HTML/CSS;JavaScript,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38574,35-44 years old,United States of America,C++;Python,"School (i.e., University, College, etc);On the job training;Other (please specify):"
38575,25-34 years old,United States of America,C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38576,18-24 years old,United States of America,Bash/Shell;C;Dart;Go;HTML/CSS;JavaScript;Kotlin;Lua;Python;Rust;SQL;TypeScript,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum)"
38577,35-44 years old,Poland,Go;JavaScript;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Other (please specify):"
38578,25-34 years old,Argentina,HTML/CSS;JavaScript,"Other online resources (e.g., videos, blogs, forum);Coding Bootcamp"
38579,25-34 years old,Mexico,Python;R;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38580,18-24 years old,Mexico,C;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;R;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38581,25-34 years old,Switzerland,Bash/Shell;HTML/CSS;JavaScript;PHP,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
38582,25-34 years old,Brazil,C#;F#,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)"
38583,18-24 years old,India,C;C++;HTML/CSS;JavaScript;Solidity;SQL,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp;Colleague"
38584,18-24 years old,Italy,Bash/Shell;C;Go;HTML/CSS;JavaScript;PHP;Python;SQL,"Other online resources (e.g., videos, blogs, forum)"
38585,25-34 years old,Germany,Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift;TypeScript,"Books / Physical media;School (i.e., University, College, etc);Colleague"
38586,25-34 years old,United States of America,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"School (i.e., University, College, etc);Other (please specify):"
38587,18-24 years old,Canada,HTML/CSS;JavaScript;Lua;Python;Rust;SQL,"Books / Physical media;School (i.e., University, College, etc);On the job training"
38588,35-44 years old,Netherlands,Go,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)"
38589,18-24 years old,Germany,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum)"
38590,25-34 years old,Germany,Bash/Shell;C#;PowerShell,Books / Physical media;On the job training;Online Courses or Certification;Other (please specify):
38591,25-34 years old,United States of America,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
38592,25-34 years old,United States of America,HTML/CSS;JavaScript;Python;Rust;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
38593,35-44 years old,Germany,C#;Go;Java;TypeScript,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);On the job training;Colleague"
38594,25-34 years old,United States of America,Bash/Shell;Fortran;MATLAB;Perl;Python,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague"
38595,18-24 years old,United States of America,Python;R;Scala;SQL,Books / Physical media;Online Courses or Certification;Coding Bootcamp;Colleague
38596,45-54 years old,Italy,Bash/Shell;C#;HTML/CSS;JavaScript;SQL;TypeScript;VBA,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38597,18-24 years old,Netherlands,Go;Haskell;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38598,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C#;Groovy;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp;Colleague"
38599,25-34 years old,Morocco,HTML/CSS;JavaScript;PHP;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38600,25-34 years old,United States of America,HTML/CSS;Java;JavaScript;Python;Ruby,"Other online resources (e.g., videos, blogs, forum);On the job training;Coding Bootcamp;Colleague"
38601,35-44 years old,Canada,Go;Java;Python;SQL,"Books / Physical media;Friend or family member;School (i.e., University, College, etc);On the job training"
38602,45-54 years old,Hong Kong (S.A.R.),Bash/Shell;C;COBOL;Delphi;Fortran;HTML/CSS;Java;JavaScript;LISP;MATLAB;SQL;VBA,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum)"
38603,25-34 years old,Bangladesh,HTML/CSS;JavaScript;PHP;SQL,Online Courses or Certification
38604,18-24 years old,India,HTML/CSS;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38605,18-24 years old,United States of America,HTML/CSS;Java;JavaScript;Python;SQL,"School (i.e., University, College, etc)"
38606,25-34 years old,Ghana,C;C++;Python,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Hackathons (virtual or in-person)"
38607,18-24 years old,Nicaragua,Bash/Shell;C#;JavaScript;TypeScript,"Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification"
38608,45-54 years old,Germany,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;TypeScript,Books / Physical media;On the job training
38609,35-44 years old,Greece,C#,Coding Bootcamp
38610,35-44 years old,Hungary,Bash/Shell;C;C++;Java;JavaScript;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
38611,18-24 years old,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
38612,25-34 years old,United States of America,HTML/CSS;JavaScript;Lua;Python,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp"
38613,25-34 years old,United States of America,Assembly;Bash/Shell;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague;Hackathons (virtual or in-person)"
38614,65 years or older,United States of America,PHP;VBA,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Other (please specify):"
38615,35-44 years old,Spain,Python;R;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38616,18-24 years old,United Arab Emirates,APL;Go;Haskell;HTML/CSS;Java;JavaScript;MATLAB;Objective-C;PHP;PowerShell;Python;R;Ruby;Rust;Solidity;SQL;Swift;TypeScript,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp;Colleague;Hackathons (virtual or in-person)"
38617,18-24 years old,Netherlands,Assembly;C#;Haskell;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Hackathons (virtual or in-person)"
38618,25-34 years old,Canada,Go;Java;Python;Ruby;Scala,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38619,35-44 years old,Israel,C++;Python,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38620,18-24 years old,Colombia,C#;Python,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38621,35-44 years old,United States of America,Bash/Shell;HTML/CSS;Python;R;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38622,Prefer not to say,Canada,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp;Colleague;Hackathons (virtual or in-person)"
38623,25-34 years old,Germany,Bash/Shell;HTML/CSS;JavaScript;Kotlin;TypeScript,"Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification"
38624,35-44 years old,United States of America,JavaScript;TypeScript,"Books / Physical media;School (i.e., University, College, etc);On the job training"
38625,35-44 years old,United States of America,Bash/Shell;HTML/CSS;JavaScript;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
38626,35-44 years old,United States of America,C;C#;Objective-C;Rust,"Books / Physical media;School (i.e., University, College, etc)"
38627,,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C;C#;HTML/CSS;PowerShell;Python,"Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification;Other (please specify):"
38628,65 years or older,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;Java;PHP;SQL,Books / Physical media;On the job training;Online Courses or Certification
38629,18-24 years old,United States of America,C#;Java;Python,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
38630,25-34 years old,Bangladesh,C;C++;HTML/CSS;JavaScript,Online Courses or Certification
38631,55-64 years old,Argentina,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
38632,25-34 years old,Belgium,HTML/CSS;Java;JavaScript;PHP;SQL;Swift;TypeScript,"School (i.e., University, College, etc)"
38633,25-34 years old,United States of America,Bash/Shell;HTML/CSS;JavaScript;Rust;TypeScript,"Other online resources (e.g., videos, blogs, forum)"
38634,25-34 years old,France,LISP;PHP,"School (i.e., University, College, etc)"
38635,25-34 years old,Brazil,Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;Kotlin;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training"
38636,25-34 years old,Austria,JavaScript;Python;Ruby;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38637,35-44 years old,Brazil,JavaScript;Python;R;SQL,Books / Physical media;On the job training;Online Courses or Certification;Hackathons (virtual or in-person)
38638,25-34 years old,Colombia,JavaScript;Python,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
38639,35-44 years old,Canada,Elixir;HTML/CSS;JavaScript;Ruby;SQL,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum)"
38640,25-34 years old,Canada,C#;HTML/CSS;JavaScript;Python,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38641,,,,
38642,25-34 years old,India,C;C#;HTML/CSS;JavaScript;Ruby,"School (i.e., University, College, etc);On the job training"
38643,35-44 years old,United States of America,HTML/CSS;JavaScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Other (please specify):"
38644,25-34 years old,Kenya,,Online Courses or Certification
38645,55-64 years old,United States of America,C#;C++;SQL,"School (i.e., University, College, etc);On the job training"
38646,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;HTML/CSS;JavaScript;Python;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38647,25-34 years old,United States of America,HTML/CSS;Java;JavaScript;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp"
38648,25-34 years old,Mexico,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38649,18-24 years old,Bangladesh,HTML/CSS;JavaScript,On the job training;Online Courses or Certification
38650,35-44 years old,United States of America,Bash/Shell;Go;Java;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38651,18-24 years old,India,C++;Java;SQL,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38652,18-24 years old,Nigeria,C;C++;HTML/CSS;Python;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague"
38653,18-24 years old,Germany,C++;Java;Kotlin,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38654,25-34 years old,Colombia,Bash/Shell;PowerShell;Python;R;SQL;VBA,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Coding Bootcamp"
38655,25-34 years old,Brazil,HTML/CSS;JavaScript;TypeScript,"Other online resources (e.g., videos, blogs, forum)"
38656,35-44 years old,United States of America,Bash/Shell;C;C++,"School (i.e., University, College, etc)"
38657,Under 18 years old,Azerbaijan,C++;Dart;Python,"Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp;Hackathons (virtual or in-person)"
38658,18-24 years old,Poland,Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague;Other (please specify):"
38659,18-24 years old,Chile,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Python;R;Ruby;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38660,18-24 years old,United States of America,C#;HTML/CSS;Java;JavaScript;Lua;Python;TypeScript,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Hackathons (virtual or in-person)"
38661,25-34 years old,United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"School (i.e., University, College, etc);On the job training"
38662,25-34 years old,United States of America,Go;Haskell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"School (i.e., University, College, etc);On the job training"
38663,45-54 years old,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;SQL,Books / Physical media
38664,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;Go;JavaScript;Kotlin;Rust;SQL;TypeScript,Books / Physical media
38665,18-24 years old,India,C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp;Hackathons (virtual or in-person)"
38666,18-24 years old,China,Python,"School (i.e., University, College, etc)"
38667,18-24 years old,Brazil,C#;JavaScript;SQL;TypeScript,"Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification"
38668,25-34 years old,United States of America,Go;Ruby;Rust,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
38669,35-44 years old,Mexico,C#;JavaScript;Python;SQL,"School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38670,,,,
38671,25-34 years old,United States of America,HTML/CSS;JavaScript;Python;R;SQL,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38672,25-34 years old,United States of America,C#;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38673,45-54 years old,Barbados,Bash/Shell;C#;PowerShell;Python;SQL,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38674,35-44 years old,Canada,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38675,18-24 years old,India,C;C#;C++,On the job training
38676,45-54 years old,United States of America,Bash/Shell;R;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Colleague"
38677,25-34 years old,Colombia,HTML/CSS;JavaScript;Python;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38678,25-34 years old,United States of America,Python;VBA,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38679,35-44 years old,Russian Federation,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)"
38680,18-24 years old,Belgium,Assembly;Bash/Shell;C;C++;Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38681,25-34 years old,United States of America,Go;JavaScript;PHP;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Other (please specify):"
38682,55-64 years old,Denmark,Assembly;C,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Hackathons (virtual or in-person)"
38683,55-64 years old,United States of America,Go;Java,"School (i.e., University, College, etc)"
38684,45-54 years old,United States of America,F#;Java;Kotlin,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
38685,25-34 years old,Israel,HTML/CSS;Java;JavaScript;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38686,18-24 years old,Poland,Bash/Shell;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Other (please specify):"
38687,35-44 years old,Spain,Rust;TypeScript,Books / Physical media
38688,35-44 years old,Costa Rica,JavaScript;Solidity;TypeScript,Books / Physical media
38689,25-34 years old,United States of America,C#;Haskell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
38690,45-54 years old,United States of America,Bash/Shell;C;C++;HTML/CSS;JavaScript;Python,"Books / Physical media;Friend or family member;School (i.e., University, College, etc)"
38691,25-34 years old,United States of America,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38692,35-44 years old,Nigeria,C#;HTML/CSS;JavaScript;PHP;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
38693,25-34 years old,Russian Federation,C#;HTML/CSS;JavaScript;PHP,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague;Hackathons (virtual or in-person)"
38694,35-44 years old,Poland,HTML/CSS;JavaScript;PHP;TypeScript,"Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification;Colleague"
38695,25-34 years old,India,HTML/CSS;JavaScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification"
38696,25-34 years old,Madagascar,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp;Colleague;Hackathons (virtual or in-person)"
38697,25-34 years old,India,Java,"Other online resources (e.g., videos, blogs, forum)"
38698,18-24 years old,Poland,C++;Java;Kotlin;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
38699,,,,
38700,18-24 years old,Canada,C;C++;Go;Java;Python;R,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
38701,25-34 years old,United States of America,C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
38702,18-24 years old,"Iran, Islamic Republic of...",Bash/Shell;Python,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
38703,35-44 years old,United States of America,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;Objective-C;Perl;PHP;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training"
38704,18-24 years old,United States of America,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
38705,35-44 years old,United States of America,Bash/Shell;C++;Java;Python,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague"
38706,25-34 years old,United States of America,Bash/Shell;C++;JavaScript;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Hackathons (virtual or in-person)"
38707,18-24 years old,Brazil,C;C++;HTML/CSS;JavaScript;Julia;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
38708,18-24 years old,United States of America,Python;SQL,"Friend or family member;School (i.e., University, College, etc);On the job training;Online Courses or Certification"
